id,name,source_type,url,domain,discovered_from,region,status,http_status,content_type,last_crawled_at,robots_allowed,error
150,Join Our Team,organisation_website,https://nordicglobal.com/careers/,nordicglobal.com,web_search:Nordic licensing agency brands,Unknown,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:35+00:00,1,
75,Kasmanas Licensing,organisation_website,https://kasmanas.com.br/,kasmanas.com.br,manual_seed,Brazil and Latin America,failed,,,2026-08-30T13:58:46+00:00,,Homepage fetch failed
76,KIDDINX Media,organisation_website,https://www.kiddinx.de/,kiddinx.de,manual_seed,Germany and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:47+00:00,1,
77,King Features Syndicate,organisation_website,https://kingfeatures.com/,kingfeatures.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:47+00:00,1,
78,Lemonade Illustration Agency,organisation_website,https://www.lemonadeillustration.com/,lemonadeillustration.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:47+00:00,1,
79,License Connection,organisation_website,https://www.licenseconnection.nl/,licenseconnection.nl,manual_seed,Benelux and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:51+00:00,1,
9,License Global licensing agents,industry_directory,https://www.licenseglobal.com/agents,licenseglobal.com,seed_registry,,http_error,404,text/html; charset=utf-8,2026-08-30T13:57:21+00:00,1,
10,License Global Top Global Licensing Agents,industry_directory,https://www.licenseglobal.com/rankings-lists/top-global-licensing-agents,licenseglobal.com,seed_registry,,http_error,404,text/html; charset=utf-8,2026-08-30T13:57:21+00:00,1,
80,LicenseWorks,organisation_website,https://licenseworks.co.in/,licenseworks.co.in,manual_seed,India and South Asia,failed,,,2026-08-30T13:58:49+00:00,,Homepage fetch failed
11,Licensing Expo,conference,https://www.licensingexpo.com/,licensingexpo.com,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:22+00:00,1,
4,Licensing Expo 2026 exhibitor PDF,conference_pdf,https://licensing26.mapyourshow.com/8_0/exhibitor/exhibitor-list.cfm?export=pdf,licensing26.mapyourshow.com,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:11+00:00,1,
3,Licensing Expo 2026 exhibitors,conference,https://licensing26.mapyourshow.com/8_0/exhibitor/exhibitor-list.cfm,licensing26.mapyourshow.com,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:10+00:00,1,
15,Licensing Horizons,industry_directory,https://licensinghorizons.com/,licensinghorizons.com,seed_registry,,failed,,,2026-08-30T13:57:47+00:00,,Fetch failed
2,Licensing International global agents,industry_directory,https://licensinginternational.org/,licensinginternational.org,seed_registry,,fetched,200,text/html; charset=utf-8,2026-08-30T13:57:03+00:00,1,
1,Licensing International member directory,member_directory,https://licensinginternational.org/member-directory/,licensinginternational.org,seed_registry,,http_error,404,text/html; charset=utf-8,2026-08-30T13:56:56+00:00,1,
13,Licensing Japan,conference,https://www.content-tokyo.jp/hub/en-gb/about/licensing-japan.html,content-tokyo.jp,seed_registry,,http_error,404,text/html;charset=utf-8,2026-08-30T13:57:25+00:00,1,
81,Licensing Link Europe,organisation_website,https://licensinglink.net/,licensinglink.net,manual_seed,Europe,fetched,200,text/html,2026-08-30T13:58:50+00:00,1,
82,Licensing Matters Global,organisation_website,https://licensingmattersglobal.com/,licensingmattersglobal.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:52+00:00,1,
155,Licensing Services - Department of State,organisation_website,https://dos.ny.gov/licensing-services,dos.ny.gov,web_search:Licensing Expo exhibitors licensing agency; web_search:licensing agent our brands portfolio,Unknown,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:40+00:00,1,
83,Licensing Street,organisation_website,https://licensingstreet.com/,licensingstreet.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:52+00:00,1,
84,Licensing Works!,organisation_website,https://www.licensingworks.us/,licensingworks.us,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:54+00:00,1,
85,Lisa Marks Associates,organisation_website,https://lisamarks.com/,lisamarks.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:54+00:00,1,
86,Lisle Licensing,organisation_website,https://lislelicensing.com/,lislelicensing.com,manual_seed,United Kingdom and Ireland,http_error,403,text/html,2026-08-30T13:58:54+00:00,1,
87,LMCA,organisation_website,https://www.lmca.net/,lmca.net,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:54+00:00,1,
88,Luk Internacional,organisation_website,https://www.lukinternacional.com/,lukinternacional.com,manual_seed,Iberia and Europe,blocked_by_robots,0,,2026-08-30T13:58:54+00:00,0,
89,Marquee Brands,organisation_website,https://marqueebrands.com/,marqueebrands.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:58:54+00:00,1,
90,Mattel Consumer Products,organisation_website,https://corporate.mattel.com/,corporate.mattel.com,manual_seed,Global,fetched,200,text/html,2026-08-30T13:58:54+00:00,1,
91,Maurizio Distefano Licensing,organisation_website,https://www.mdistefanolicensing.com/,mdistefanolicensing.com,manual_seed,Italy and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:10+00:00,1,
92,Medialink Group,organisation_website,https://www.medialink.com.hk/,medialink.com.hk,manual_seed,Asia-Pacific,fetched,200,text/html,2026-08-30T13:58:57+00:00,1,
94,Mediatoon Licensing,organisation_website,https://mediatoon-licensing.com/,mediatoon-licensing.com,manual_seed,France and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:55+00:00,1,
93,Merchantwise Group,organisation_website,https://merchantwise.com/,merchantwise.com,manual_seed,Australia and New Zealand,http_error,403,text/html; charset=utf-8,2026-08-30T13:58:54+00:00,1,
95,Metrostar Media,organisation_website,https://metrostar.co.uk/,metrostar.co.uk,manual_seed,United Kingdom and Ireland,failed,,,2026-08-30T13:59:30+00:00,,Homepage fetch failed
96,MGL Licensing,organisation_website,https://mgllicensing.com/,mgllicensing.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:55+00:00,1,
97,Mondo TV Consumer Products,organisation_website,https://www.mondotvgroup.com/,mondotvgroup.com,manual_seed,Italy and Europe,fetched,200,text/html,2026-08-30T13:58:57+00:00,1,
98,Moxie & Company,organisation_website,https://moxieco.com/,moxieco.com,manual_seed,North America,http_error,403,text/html; charset=utf-8,2026-08-30T13:58:58+00:00,1,
99,Pacific Licensing Studio,organisation_website,https://www.pacificlicensing.com/,pacificlicensing.com,manual_seed,Asia-Pacific,fetched,200,text/html,2026-08-30T13:58:59+00:00,1,
100,Pacific Swell Brands,organisation_website,https://pacificswellbrands.com/,pacificswellbrands.com,manual_seed,North America,fetched,200,text/html,2026-08-30T13:58:59+00:00,1,
101,Paramount Consumer Products,organisation_website,https://www.paramount.com/,paramount.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:59+00:00,1,
102,Perpetual Licensing,organisation_website,https://perpetuallicensing.com/,perpetuallicensing.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:58:59+00:00,1,
103,Perryscope Productions,organisation_website,https://www.perryscope.com/,perryscope.com,manual_seed,Global,failed,,,2026-08-30T13:59:00+00:00,,Homepage fetch failed
106,Pink Key Licensing,organisation_website,https://pinkkeylicensing.com/,pinkkeylicensing.com,manual_seed,United Kingdom and Ireland,failed,,,2026-08-30T13:59:00+00:00,,Homepage fetch failed
105,Pink Light Studio,organisation_website,https://pinklightstudio.com/,pinklightstudio.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:59:00+00:00,1,
104,Plus Licens,organisation_website,https://pluslicens.se/,pluslicens.se,manual_seed,Nordics and Europe,failed,,,2026-08-30T13:59:01+00:00,,Homepage fetch failed
107,Porterfields Fine Art Licensing,organisation_website,https://www.porterfieldsfineart.com/,porterfieldsfineart.com,manual_seed,Global,fetched,200,text/html,2026-08-30T13:59:01+00:00,1,
108,PPW Sports & Entertainment,organisation_website,https://ppwgroup.com/,ppwgroup.com,manual_seed,Asia-Pacific,http_error,403,text/html; charset=utf-8,2026-08-30T13:59:00+00:00,1,
109,Probity Merchandising,organisation_website,https://probitymerch.com/,probitymerch.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:01+00:00,1,
110,Rainbow Group,organisation_website,https://www.rbw.it/,rbw.it,manual_seed,Italy and Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:04+00:00,1,
111,Redibra,organisation_website,https://redibra.com.br/,redibra.com.br,manual_seed,Brazil and Latin America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:04+00:00,1,
112,Retail Monster,organisation_website,https://retailmonster.com/,retailmonster.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:03+00:00,1,
113,Rights & Brands,organisation_website,https://rightsandbrands.com/,rightsandbrands.com,manual_seed,Nordics and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:06+00:00,1,
114,Roaring Brook Art,organisation_website,https://roaringbrookart.com/,roaringbrookart.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:06+00:00,1,
115,Rocket Licensing,organisation_website,https://rocketlicensing.com/,rocketlicensing.com,manual_seed,United Kingdom and Ireland,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:07+00:00,1,
116,Sanrio Global Licensing,organisation_website,https://www.sanrio.com/,sanrio.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:10+00:00,1,
117,Seltzer Licensing Group,organisation_website,https://seltzerlicensing.com/,seltzerlicensing.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:14+00:00,1,
148,Shooting Stars Licensing,organisation_website,https://www.crazygames.com/c/shooting,crazygames.com,seed_name_search,Africa,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:31+00:00,1,
118,Sinerji,organisation_website,https://sinerji.com.tr/,sinerji.com.tr,manual_seed,Turkey and Middle East,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:11+00:00,1,
119,Sony Pictures Consumer Products,organisation_website,https://www.sonypictures.com/,sonypictures.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:12+00:00,1,
120,Spacetoon International Licensing,organisation_website,https://spacetoongroup.com/,spacetoongroup.com,manual_seed,Middle East and North Africa,fetched,200,text/html,2026-08-30T13:59:12+00:00,1,
122,Spotlight Licensing and Brand Management,organisation_website,https://spotlightlicensing.com/,spotlightlicensing.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:15+00:00,1,
121,Striker Entertainment,organisation_website,https://strikerentertainment.com/,strikerentertainment.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:17+00:00,1,
123,Studio 100 International,organisation_website,https://www.studio100international.com/,studio100international.com,manual_seed,Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:17+00:00,1,
124,SUPER RTL Licensing,organisation_website,https://www.superrtllicensing.com/,superrtllicensing.com,manual_seed,Germany and Europe,failed,,,2026-08-30T13:59:17+00:00,,Homepage fetch failed
125,Surge Licensing,organisation_website,https://www.surgelicensing.com/,surgelicensing.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:18+00:00,1,
127,The Brand Liaison,organisation_website,https://thebrandliaison.com/,thebrandliaison.com,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:23+00:00,1,
128,The Joester Loria Group,organisation_website,https://www.joesterloriagroup.com/,joesterloriagroup.com,manual_seed,Global,fetched,200,text/html;charset=utf-8,2026-08-30T13:59:22+00:00,1,
126,The Licensing Shop,organisation_website,https://thelicensingshop.com/,thelicensingshop.com,manual_seed,North America,fetched,200,text/html,2026-08-30T13:59:22+00:00,1,
129,The Point.1888,organisation_website,https://thepoint1888.com/,thepoint1888.com,manual_seed,United Kingdom and Ireland,failed,,,2026-08-30T13:59:23+00:00,,Homepage fetch failed
130,The Pokémon Company International,organisation_website,https://corporate.pokemon.com/,corporate.pokemon.com,manual_seed,Global,fetched,200,text/html,2026-08-30T13:59:22+00:00,1,
131,The Sharpe Company,organisation_website,https://www.sharpeco.net/,sharpeco.net,manual_seed,North America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:23+00:00,1,
132,Those Licensing People,organisation_website,https://www.thoselicensingpeople.com/,thoselicensingpeople.com,manual_seed,United Kingdom and Ireland,fetched,200,text/html,2026-08-30T13:59:38+00:00,1,
133,TSBA Group,organisation_website,https://tsbagroup.com/,tsbagroup.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:25+00:00,1,
152,txdmv.gov,organisation_website,https://www.txdmv.gov/dealers/licensing,txdmv.gov,web_search:Licensing Expo exhibitors licensing agency; web_search:licensing agent our brands portfolio,Unknown,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:39+00:00,1,
134,Tycoon Enterprises,organisation_website,https://tycoon.com.mx/,tycoon.com.mx,manual_seed,Latin America,failed,,,2026-08-30T13:59:25+00:00,,Homepage fetch failed
135,Universal Products & Experiences,organisation_website,https://www.universalproductsexperiences.com/,universalproductsexperiences.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:26+00:00,1,
137,Vertical Licensing,organisation_website,https://verticallicensing.com.br/,verticallicensing.com.br,manual_seed,Brazil and Latin America,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:27+00:00,1,
156,Volume Licensing Service Center - microsoft.com,organisation_website,https://www.microsoft.com/licensing/ServiceCenter/Default.aspx,microsoft.com,web_search:Licensing Expo exhibitors licensing agency; web_search:licensing agent our brands portfolio,Unknown,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:41+00:00,1,
136,Warner Bros. Discovery Global Consumer Products,organisation_website,https://www.wbd.com/,wbd.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:26+00:00,1,
138,WDR mediagroup licensing,organisation_website,https://wdr-mediagroup.com/,wdr-mediagroup.com,manual_seed,Germany and Europe,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:29+00:00,1,
157,"What is Licensing? definition, reasons, benefits and limitations ...",organisation_website,https://businessjargons.com/licensing.html,businessjargons.com,web_search:Licensing Expo exhibitors licensing agency; web_search:licensing agent our brands portfolio,Unknown,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:42+00:00,1,
141,WHP Global,organisation_website,https://whp-global.com/,whp-global.com,manual_seed,Global,fetched,200,text/html; charset=utf-8,2026-08-30T13:59:29+00:00,1,
139,Wild Apple Licensing,organisation_website,https://www.wildapple.com/licensing/,wildapple.com,manual_seed,Global,http_error,404,text/html; charset=utf-8,2026-08-30T13:59:29+00:00,1,
140,WildBrain CPLG,organisation_website,https://www.wildbrain.com/cplg,wildbrain.com,manual_seed,Global,http_error,404,text/html; charset=utf-8,2026-08-30T13:59:30+00:00,1,
142,WP Brands,organisation_website,https://wpbrands.com.au/,wpbrands.com.au,manual_seed,Australia and New Zealand,http_error,403,text/html,2026-08-30T13:59:30+00:00,1,
143,Xilam Animation,organisation_website,https://xilam.com/,xilam.com,manual_seed,France and Europe,failed,,,2026-08-30T13:59:31+00:00,,Homepage fetch failed
