id,agency,brand,relationship_status,quality_score,evidence_count,brand_url,source_urls,methods
1410,IMG Licensing,Mickael Jackson,first_party_article_reference,0.74,2,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
647,IMG Licensing,Millie Bobby Brown,first_party_portfolio_presence,0.95,7,https://imglicensing.com/brands/millie-bobby-brown/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/"", ""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""embedded_or_network_json"", ""licenseglobal_client_list"", ""portfolio_card""]"
1361,IMG Licensing,Minions,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/minions/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
711,IMG Licensing,Ministry of Defence,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1322,IMG Licensing,MoMA,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/moma/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1386,IMG Licensing,Monopoly,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/monopoly/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1306,IMG Licensing,Mopar,first_party_portfolio_presence,0.95,6,https://imglicensing.com/brands/mopar/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1294,IMG Licensing,Mountain Dew,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/mountain-dew/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
243,IMG Licensing,Mr Bean,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1295,IMG Licensing,Mug,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/mug/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
715,IMG Licensing,Museum of Modern Art,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1362,IMG Licensing,My Little Pony,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/my-little-pony/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
666,IMG Licensing,NBCUniversal,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1336,IMG Licensing,NFL,first_party_portfolio_presence,0.95,16,https://imglicensing.com/brands/nfl/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
620,IMG Licensing,NFL International,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1387,IMG Licensing,Nerf,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/nerf/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1388,IMG Licensing,Newmoji,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/newmoji/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1345,IMG Licensing,Nikki Lund,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/nikki-lund/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1307,IMG Licensing,Nitro Circus,first_party_portfolio_presence,0.95,4,https://imglicensing.com/brands/nitro-circus/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
1324,IMG Licensing,Norman Rockwell,first_party_portfolio_presence,0.95,12,https://imglicensing.com/brands/norman-rockwell/,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json"", ""portfolio_card""]"
717,IMG Licensing,Norman Rockwell Family Agency,agent_supplied_client_listing,0.84,1,,"[""https://www.licenseglobal.com/licensing-resources/top-global-licensing-agents-client-list""]","[""licenseglobal_client_list""]"
1425,IMG Licensing,Okay Bears,first_party_article_reference,0.74,2,,"[""https://imglicensing.com/brands/"", ""https://imglicensing.com/brands/24h-le-mans/""]","[""embedded_or_network_json""]"
